"id","sender","subject","body","label","received_at"
"TE-0031","chris.miller322@corp.io","Report data mismatch vs API output","Our users are unable to log in on macOS 14 using Edge 122; the screen freezes or remains blank after submitting credentials. Exporting to CSV intermittently returns an API 503, and this behavior started around 2025-06-05 11:14 without any configuration changes on our end. We have tracked the incident internally as TKT-9467 and can share HAR files and console logs upon request. Single sign-on with Azure AD occasionally loops back to the login screen which suggests a session or redirect issue.","Technical Support","2023-04-16 09:23:00"
"FE-0014","chris.garcia753@corp.io","Feature request: bulk actions for records","The latest release is a clear improvement; the dashboard loads faster and the navigation is far more intuitive for first-time users. Dark mode is helpful though some secondary text could use higher contrast to aid readability in low-light conditions. Keyboard shortcuts for frequent actions and better partial-match search would make power users more productive. Overall onboarding was smoother thanks to the checklist and clearer documentation with actionable examples.","Feedback","2023-11-04 17:41:00"
"FE-0052","cameron.miller970@example.com","Thanks for the quick response from support","The latest release is a clear improvement; the dashboard loads faster and the navigation is far more intuitive for first-time users. Dark mode is helpful though some secondary text could use higher contrast to aid readability in low-light conditions. Keyboard shortcuts for frequent actions and better partial-match search would make power users more productive. Overall onboarding was smoother thanks to the checklist and clearer documentation with actionable examples.","Feedback","2023-07-10 05:21:00"
"OT-0001","riley.young52@example.com","Where to find SLA and uptime metrics","We are exploring partnership and reseller options and would like details on tiers, referral process, and minimum requirements. Please share a link to your latest SLA and uptime metrics and clarify data deletion timelines and ownership transfer procedures. We are also interested in non-profit discounts and would appreciate guidance on eligibility and verification steps. If there are upcoming community events or webinars for partners, kindly include registration instructions.","Other","2023-07-19 20:32:00"
"OT-0003","avery.brown663@mail.com","Confirm office address and visiting hours","We are exploring partnership and reseller options and would like details on tiers, referral process, and minimum requirements. Please share a link to your latest SLA and uptime metrics and clarify data deletion timelines and ownership transfer procedures. We are also interested in non-profit discounts and would appreciate guidance on eligibility and verification steps. If there are upcoming community events or webinars for partners, kindly include registration instructions.","Other","2025-04-09 09:51:00"
"OT-0050","jamie.lewis480@mail.com","Partnership opportunities with our team","We are exploring partnership and reseller options and would like details on tiers, referral process, and minimum requirements. Please share a link to your latest SLA and uptime metrics and clarify data deletion timelines and ownership transfer procedures. We are also interested in non-profit discounts and would appreciate guidance on eligibility and verification steps. If there are upcoming community events or webinars for partners, kindly include registration instructions.","Other","2023-12-26 02:09:00"
"OT-0056","avery.miller116@business.dev","Request for media kit and brand assets","We are exploring partnership and reseller options and would like details on tiers, referral process, and minimum requirements. Please share a link to your latest SLA and uptime metrics and clarify data deletion timelines and ownership transfer procedures. We are also interested in non-profit discounts and would appreciate guidance on eligibility and verification steps. If there are upcoming community events or webinars for partners, kindly include registration instructions.","Other","2025-06-29 08:14:00"
"BI-0051","morgan.wilson990@example.com","Promotion code not applied to bill","I am writing regarding invoice INV-53846 which lists a charge of $88.35 dated 2025-01-24 that does not match our subscribed plan. A promotion code was applied at checkout but the discount was not reflected on the final amount. Please reissue the invoice with our legal entity name and tax ID and confirm if a refund is needed for any duplicate charges. If you require payment gateway logs or screenshots, I can provide them immediately.","Billing Issue","2023-11-18 02:01:00"
"TE-0045","casey.smith453@mail.com","Cannot reset password - 2FA not delivered","Our users are unable to log in on iOS 17 using Chrome 124; the screen freezes or remains blank after submitting credentials. Exporting to CSV intermittently returns an API 503, and this behavior started around 2024-08-02 18:09 without any configuration changes on our end. We have tracked the incident internally as TKT-5426 and can share HAR files and console logs upon request. Single sign-on with Azure AD occasionally loops back to the login screen which suggests a session or redirect issue.","Technical Support","2023-10-08 20:25:00"
"OT-0013","reese.lee541@example.com","Account ownership transfer steps","We are exploring partnership and reseller options and would like details on tiers, referral process, and minimum requirements. Please share a link to your latest SLA and uptime metrics and clarify data deletion timelines and ownership transfer procedures. We are also interested in non-profit discounts and would appreciate guidance on eligibility and verification steps. If there are upcoming community events or webinars for partners, kindly include registration instructions.","Other","2023-10-07 23:37:00"
"OT-0002","taylor.walker362@business.dev","Inquiry about internship opportunities","We are exploring partnership and reseller options and would like details on tiers, referral process, and minimum requirements. Please share a link to your latest SLA and uptime metrics and clarify data deletion timelines and ownership transfer procedures. We are also interested in non-profit discounts and would appreciate guidance on eligibility and verification steps. If there are upcoming community events or webinars for partners, kindly include registration instructions.","Other","2025-05-11 21:32:00"
"TE-0025","alex.davis420@business.dev","API 503 when exporting reports","Our users are unable to log in on Windows 11 using Safari 17.5; the screen freezes or remains blank after submitting credentials. Exporting to CSV intermittently returns an API 503, and this behavior started around 2023-10-30 08:07 without any configuration changes on our end. We have tracked the incident internally as TKT-4766 and can share HAR files and console logs upon request. Single sign-on with Azure AD occasionally loops back to the login screen which suggests a session or redirect issue.","Technical Support","2024-07-19 07:26:00"
"OT-0030","quinn.lopez346@mail.com","Confirm office address and visiting hours","We are exploring partnership and reseller options and would like details on tiers, referral process, and minimum requirements. Please share a link to your latest SLA and uptime metrics and clarify data deletion timelines and ownership transfer procedures. We are also interested in non-profit discounts and would appreciate guidance on eligibility and verification steps. If there are upcoming community events or webinars for partners, kindly include registration instructions.","Other","2024-01-03 07:35:00"
"TE-0028","casey.allen458@corp.io","API 503 when exporting reports","Our users are unable to log in on iOS 17 using Firefox 126; the screen freezes or remains blank after submitting credentials. Exporting to CSV intermittently returns an API 503, and this behavior started around 2024-09-27 00:33 without any configuration changes on our end. We have tracked the incident internally as TKT-5497 and can share HAR files and console logs upon request. Single sign-on with Azure AD occasionally loops back to the login screen which suggests a session or redirect issue.","Technical Support","2023-07-06 23:16:00"
"TE-0007","chris.brown956@business.dev","Webhook stopped triggering since 2024-10-04","Our users are unable to log in on macOS 14 using Edge 122; the screen freezes or remains blank after submitting credentials. Exporting to CSV intermittently returns an API 503, and this behavior started around 2024-12-14 10:21 without any configuration changes on our end. We have tracked the incident internally as TKT-7840 and can share HAR files and console logs upon request. Single sign-on with Azure AD occasionally loops back to the login screen which suggests a session or redirect issue.","Technical Support","2023-04-04 11:17:00"
"BI-0032","chris.brown189@example.com","Payment captured but order not confirmed ORD-981028","I am writing regarding invoice INV-18119 which lists a charge of $142.87 dated 2024-04-18 that does not match our subscribed plan. A promotion code was applied at checkout but the discount was not reflected on the final amount. Please reissue the invoice with our legal entity name and tax ID and confirm if a refund is needed for any duplicate charges. If you require payment gateway logs or screenshots, I can provide them immediately.","Billing Issue","2023-04-10 10:25:00"
"TE-0039","jamie.lewis704@mail.com","Webhook stopped triggering since 2023-12-08","Our users are unable to log in on iOS 17 using Firefox 126; the screen freezes or remains blank after submitting credentials. Exporting to CSV intermittently returns an API 503, and this behavior started around 2023-10-20 11:47 without any configuration changes on our end. We have tracked the incident internally as TKT-7796 and can share HAR files and console logs upon request. Single sign-on with Azure AD occasionally loops back to the login screen which suggests a session or redirect issue.","Technical Support","2024-11-15 17:31:00"
"BI-0054","morgan.lewis701@mail.com","Charge after cancellation for subscription ORD-508238","I am writing regarding invoice INV-71793 which lists a charge of $320.93 dated 2023-04-28 that does not match our subscribed plan. A promotion code was applied at checkout but the discount was not reflected on the final amount. Please reissue the invoice with our legal entity name and tax ID and confirm if a refund is needed for any duplicate charges. If you require payment gateway logs or screenshots, I can provide them immediately.","Billing Issue","2023-06-09 05:58:00"
"OT-0042","drew.allen222@corp.io","Non-profit discount eligibility","We are exploring partnership and reseller options and would like details on tiers, referral process, and minimum requirements. Please share a link to your latest SLA and uptime metrics and clarify data deletion timelines and ownership transfer procedures. We are also interested in non-profit discounts and would appreciate guidance on eligibility and verification steps. If there are upcoming community events or webinars for partners, kindly include registration instructions.","Other","2023-08-14 23:42:00"
"TE-0005","jamie.smith841@corp.io","Push notifications not arriving on Ubuntu 22.04","Our users are unable to log in on iOS 17 using Chrome 125; the screen freezes or remains blank after submitting credentials. Exporting to CSV intermittently returns an API 503, and this behavior started around 2023-01-19 08:21 without any configuration changes on our end. We have tracked the incident internally as TKT-9681 and can share HAR files and console logs upon request. Single sign-on with Azure AD occasionally loops back to the login screen which suggests a session or redirect issue.","Technical Support","2023-07-13 10:19:00"
"FE-0023","alex.brown594@business.dev","Feedback on the new dashboard experience","The latest release is a clear improvement; the dashboard loads faster and the navigation is far more intuitive for first-time users. Dark mode is helpful though some secondary text could use higher contrast to aid readability in low-light conditions. Keyboard shortcuts for frequent actions and better partial-match search would make power users more productive. Overall onboarding was smoother thanks to the checklist and clearer documentation with actionable examples.","Feedback","2025-03-11 02:28:00"
"OT-0007","hayden.clark41@example.com","How to change email preferences","We are exploring partnership and reseller options and would like details on tiers, referral process, and minimum requirements. Please share a link to your latest SLA and uptime metrics and clarify data deletion timelines and ownership transfer procedures. We are also interested in non-profit discounts and would appreciate guidance on eligibility and verification steps. If there are upcoming community events or webinars for partners, kindly include registration instructions.","Other","2024-12-12 04:33:00"
"OT-0019","jamie.young446@company.co","Account ownership transfer steps","We are exploring partnership and reseller options and would like details on tiers, referral process, and minimum requirements. Please share a link to your latest SLA and uptime metrics and clarify data deletion timelines and ownership transfer procedures. We are also interested in non-profit discounts and would appreciate guidance on eligibility and verification steps. If there are upcoming community events or webinars for partners, kindly include registration instructions.","Other","2025-01-22 15:40:00"
"BI-0056","morgan.miller413@mail.com","Request to correct VAT on invoice INV-92150","I am writing regarding invoice INV-62771 which lists a charge of $941.43 dated 2024-11-07 that does not match our subscribed plan. A promotion code was applied at checkout but the discount was not reflected on the final amount. Please reissue the invoice with our legal entity name and tax ID and confirm if a refund is needed for any duplicate charges. If you require payment gateway logs or screenshots, I can provide them immediately.","Billing Issue","2023-04-05 15:55:00"
"BI-0046","taylor.young829@business.dev","Payment captured but order not confirmed ORD-544974","I am writing regarding invoice INV-30115 which lists a charge of $674.76 dated 2023-11-30 that does not match our subscribed plan. A promotion code was applied at checkout but the discount was not reflected on the final amount. Please reissue the invoice with our legal entity name and tax ID and confirm if a refund is needed for any duplicate charges. If you require payment gateway logs or screenshots, I can provide them immediately.","Billing Issue","2025-02-16 23:52:00"
"TE-0019","sam.lee615@business.dev","Single sign-on loop with Azure AD","Our users are unable to log in on macOS 14 using Chrome 125; the screen freezes or remains blank after submitting credentials. Exporting to CSV intermittently returns an API 503, and this behavior started around 2023-10-13 23:35 without any configuration changes on our end. We have tracked the incident internally as TKT-3938 and can share HAR files and console logs upon request. Single sign-on with Azure AD occasionally loops back to the login screen which suggests a session or redirect issue.","Technical Support","2023-01-30 05:50:00"
"BI-0044","jamie.miller772@mail.com","Payment captured but order not confirmed ORD-626541","I am writing regarding invoice INV-11242 which lists a charge of $282.33 dated 2024-03-11 that does not match our subscribed plan. A promotion code was applied at checkout but the discount was not reflected on the final amount. Please reissue the invoice with our legal entity name and tax ID and confirm if a refund is needed for any duplicate charges. If you require payment gateway logs or screenshots, I can provide them immediately.","Billing Issue","2023-02-08 03:14:00"
"BI-0060","alex.brown427@mail.com","Refund request for duplicate payment INV-67696","I am writing regarding invoice INV-30650 which lists a charge of $974.39 dated 2023-11-20 that does not match our subscribed plan. A promotion code was applied at checkout but the discount was not reflected on the final amount. Please reissue the invoice with our legal entity name and tax ID and confirm if a refund is needed for any duplicate charges. If you require payment gateway logs or screenshots, I can provide them immediately.","Billing Issue","2023-03-19 17:19:00"
"BI-0035","taylor.johnson835@corp.io","Billing cycle and proration issue","I am writing regarding invoice INV-63181 which lists a charge of $216.92 dated 2023-07-09 that does not match our subscribed plan. A promotion code was applied at checkout but the discount was not reflected on the final amount. Please reissue the invoice with our legal entity name and tax ID and confirm if a refund is needed for any duplicate charges. If you require payment gateway logs or screenshots, I can provide them immediately.","Billing Issue","2023-12-16 09:30:00"
"FE-0008","hayden.walker849@mail.com","Charts load fast and look great","The latest release is a clear improvement; the dashboard loads faster and the navigation is far more intuitive for first-time users. Dark mode is helpful though some secondary text could use higher contrast to aid readability in low-light conditions. Keyboard shortcuts for frequent actions and better partial-match search would make power users more productive. Overall onboarding was smoother thanks to the checklist and clearer documentation with actionable examples.","Feedback","2024-06-14 18:13:00"
"FE-0006","taylor.young919@mail.com","Thanks for the quick response from support","The latest release is a clear improvement; the dashboard loads faster and the navigation is far more intuitive for first-time users. Dark mode is helpful though some secondary text could use higher contrast to aid readability in low-light conditions. Keyboard shortcuts for frequent actions and better partial-match search would make power users more productive. Overall onboarding was smoother thanks to the checklist and clearer documentation with actionable examples.","Feedback","2025-07-08 00:42:00"
"FE-0055","alex.davis435@corp.io","Keyboard shortcuts would help power users","The latest release is a clear improvement; the dashboard loads faster and the navigation is far more intuitive for first-time users. Dark mode is helpful though some secondary text could use higher contrast to aid readability in low-light conditions. Keyboard shortcuts for frequent actions and better partial-match search would make power users more productive. Overall onboarding was smoother thanks to the checklist and clearer documentation with actionable examples.","Feedback","2023-06-20 09:02:00"
"FE-0033","morgan.clark706@company.co","Onboarding checklist improved our setup time","The latest release is a clear improvement; the dashboard loads faster and the navigation is far more intuitive for first-time users. Dark mode is helpful though some secondary text could use higher contrast to aid readability in low-light conditions. Keyboard shortcuts for frequent actions and better partial-match search would make power users more productive. Overall onboarding was smoother thanks to the checklist and clearer documentation with actionable examples.","Feedback","2023-09-13 11:01:00"
"FE-0036","riley.wilson56@corp.io","Onboarding checklist improved our setup time","The latest release is a clear improvement; the dashboard loads faster and the navigation is far more intuitive for first-time users. Dark mode is helpful though some secondary text could use higher contrast to aid readability in low-light conditions. Keyboard shortcuts for frequent actions and better partial-match search would make power users more productive. Overall onboarding was smoother thanks to the checklist and clearer documentation with actionable examples.","Feedback","2023-12-20 23:13:00"
"OT-0032","quinn.brown789@company.co","Account ownership transfer steps","We are exploring partnership and reseller options and would like details on tiers, referral process, and minimum requirements. Please share a link to your latest SLA and uptime metrics and clarify data deletion timelines and ownership transfer procedures. We are also interested in non-profit discounts and would appreciate guidance on eligibility and verification steps. If there are upcoming community events or webinars for partners, kindly include registration instructions.","Other","2025-02-24 21:34:00"
"BI-0004","casey.lee72@business.dev","Refund request for duplicate payment INV-62481","I am writing regarding invoice INV-99770 which lists a charge of $5.27 dated 2023-08-03 that does not match our subscribed plan. A promotion code was applied at checkout but the discount was not reflected on the final amount. Please reissue the invoice with our legal entity name and tax ID and confirm if a refund is needed for any duplicate charges. If you require payment gateway logs or screenshots, I can provide them immediately.","Billing Issue","2024-01-20 22:25:00"
"OT-0022","reese.clark785@corp.io","Where to find SLA and uptime metrics","We are exploring partnership and reseller options and would like details on tiers, referral process, and minimum requirements. Please share a link to your latest SLA and uptime metrics and clarify data deletion timelines and ownership transfer procedures. We are also interested in non-profit discounts and would appreciate guidance on eligibility and verification steps. If there are upcoming community events or webinars for partners, kindly include registration instructions.","Other","2023-07-21 23:58:00"
"BI-0012","chris.kim946@example.com","Annual renewal billed early","I am writing regarding invoice INV-73207 which lists a charge of $73.93 dated 2023-11-15 that does not match our subscribed plan. A promotion code was applied at checkout but the discount was not reflected on the final amount. Please reissue the invoice with our legal entity name and tax ID and confirm if a refund is needed for any duplicate charges. If you require payment gateway logs or screenshots, I can provide them immediately.","Billing Issue","2023-03-16 02:28:00"
"OT-0014","avery.miller786@example.com","Inquiry about internship opportunities","We are exploring partnership and reseller options and would like details on tiers, referral process, and minimum requirements. Please share a link to your latest SLA and uptime metrics and clarify data deletion timelines and ownership transfer procedures. We are also interested in non-profit discounts and would appreciate guidance on eligibility and verification steps. If there are upcoming community events or webinars for partners, kindly include registration instructions.","Other","2025-06-28 01:35:00"
"TE-0052","alex.lewis515@example.com","Report data mismatch vs API output","Our users are unable to log in on Windows 11 using Safari 17.5; the screen freezes or remains blank after submitting credentials. Exporting to CSV intermittently returns an API 503, and this behavior started around 2024-08-15 10:27 without any configuration changes on our end. We have tracked the incident internally as TKT-2775 and can share HAR files and console logs upon request. Single sign-on with Azure AD occasionally loops back to the login screen which suggests a session or redirect issue.","Technical Support","2024-04-29 07:31:00"
"FE-0001","alex.patel709@mail.com","Onboarding checklist improved our setup time","The latest release is a clear improvement; the dashboard loads faster and the navigation is far more intuitive for first-time users. Dark mode is helpful though some secondary text could use higher contrast to aid readability in low-light conditions. Keyboard shortcuts for frequent actions and better partial-match search would make power users more productive. Overall onboarding was smoother thanks to the checklist and clearer documentation with actionable examples.","Feedback","2024-03-10 11:52:00"
"TE-0051","avery.brown760@mail.com","Webhook stopped triggering since 2023-05-14","Our users are unable to log in on iOS 17 using Chrome 124; the screen freezes or remains blank after submitting credentials. Exporting to CSV intermittently returns an API 503, and this behavior started around 2023-05-27 11:22 without any configuration changes on our end. We have tracked the incident internally as TKT-3549 and can share HAR files and console logs upon request. Single sign-on with Azure AD occasionally loops back to the login screen which suggests a session or redirect issue.","Technical Support","2023-07-06 13:01:00"
"FE-0037","riley.clark907@mail.com","Thanks for the quick response from support","The latest release is a clear improvement; the dashboard loads faster and the navigation is far more intuitive for first-time users. Dark mode is helpful though some secondary text could use higher contrast to aid readability in low-light conditions. Keyboard shortcuts for frequent actions and better partial-match search would make power users more productive. Overall onboarding was smoother thanks to the checklist and clearer documentation with actionable examples.","Feedback","2025-07-12 00:06:00"
"FE-0058","casey.johnson957@company.co","Dark mode contrast suggestions","The latest release is a clear improvement; the dashboard loads faster and the navigation is far more intuitive for first-time users. Dark mode is helpful though some secondary text could use higher contrast to aid readability in low-light conditions. Keyboard shortcuts for frequent actions and better partial-match search would make power users more productive. Overall onboarding was smoother thanks to the checklist and clearer documentation with actionable examples.","Feedback","2024-10-16 03:40:00"
"TE-0044","alex.allen176@company.co","Cannot reset password - 2FA not delivered","Our users are unable to log in on Ubuntu 22.04 using Edge 122; the screen freezes or remains blank after submitting credentials. Exporting to CSV intermittently returns an API 503, and this behavior started around 2024-08-13 12:43 without any configuration changes on our end. We have tracked the incident internally as TKT-3326 and can share HAR files and console logs upon request. Single sign-on with Azure AD occasionally loops back to the login screen which suggests a session or redirect issue.","Technical Support","2024-12-11 06:34:00"
"TE-0016","sam.brown324@company.co","Push notifications not arriving on Ubuntu 22.04","Our users are unable to log in on macOS 14 using Chrome 125; the screen freezes or remains blank after submitting credentials. Exporting to CSV intermittently returns an API 503, and this behavior started around 2024-10-27 03:19 without any configuration changes on our end. We have tracked the incident internally as TKT-1819 and can share HAR files and console logs upon request. Single sign-on with Azure AD occasionally loops back to the login screen which suggests a session or redirect issue.","Technical Support","2025-01-13 10:57:00"
"TE-0010","hayden.garcia584@corp.io","API 503 when exporting reports","Our users are unable to log in on Windows 11 using Chrome 124; the screen freezes or remains blank after submitting credentials. Exporting to CSV intermittently returns an API 503, and this behavior started around 2024-02-17 15:38 without any configuration changes on our end. We have tracked the incident internally as TKT-3371 and can share HAR files and console logs upon request. Single sign-on with Azure AD occasionally loops back to the login screen which suggests a session or redirect issue.","Technical Support","2023-04-15 15:22:00"
"OT-0004","morgan.garcia835@corp.io","Where to find SLA and uptime metrics","We are exploring partnership and reseller options and would like details on tiers, referral process, and minimum requirements. Please share a link to your latest SLA and uptime metrics and clarify data deletion timelines and ownership transfer procedures. We are also interested in non-profit discounts and would appreciate guidance on eligibility and verification steps. If there are upcoming community events or webinars for partners, kindly include registration instructions.","Other","2025-03-21 20:39:00"
"OT-0033","alex.garcia332@example.com","Community event participation details","We are exploring partnership and reseller options and would like details on tiers, referral process, and minimum requirements. Please share a link to your latest SLA and uptime metrics and clarify data deletion timelines and ownership transfer procedures. We are also interested in non-profit discounts and would appreciate guidance on eligibility and verification steps. If there are upcoming community events or webinars for partners, kindly include registration instructions.","Other","2025-03-23 03:26:00"
"OT-0044","morgan.kim353@example.com","How to change email preferences","We are exploring partnership and reseller options and would like details on tiers, referral process, and minimum requirements. Please share a link to your latest SLA and uptime metrics and clarify data deletion timelines and ownership transfer procedures. We are also interested in non-profit discounts and would appreciate guidance on eligibility and verification steps. If there are upcoming community events or webinars for partners, kindly include registration instructions.","Other","2025-04-04 08:57:00"
"TE-0004","jamie.lewis38@corp.io","Slack integration auth error","Our users are unable to log in on Android 14 using Chrome 124; the screen freezes or remains blank after submitting credentials. Exporting to CSV intermittently returns an API 503, and this behavior started around 2025-07-31 13:59 without any configuration changes on our end. We have tracked the incident internally as TKT-6597 and can share HAR files and console logs upon request. Single sign-on with Azure AD occasionally loops back to the login screen which suggests a session or redirect issue.","Technical Support","2024-06-07 04:41:00"
"FE-0013","taylor.smith148@business.dev","Charts load fast and look great","The latest release is a clear improvement; the dashboard loads faster and the navigation is far more intuitive for first-time users. Dark mode is helpful though some secondary text could use higher contrast to aid readability in low-light conditions. Keyboard shortcuts for frequent actions and better partial-match search would make power users more productive. Overall onboarding was smoother thanks to the checklist and clearer documentation with actionable examples.","Feedback","2025-04-22 00:14:00"
"BI-0023","alex.brown829@example.com","Promotion code not applied to bill","I am writing regarding invoice INV-29487 which lists a charge of $533.92 dated 2024-06-14 that does not match our subscribed plan. A promotion code was applied at checkout but the discount was not reflected on the final amount. Please reissue the invoice with our legal entity name and tax ID and confirm if a refund is needed for any duplicate charges. If you require payment gateway logs or screenshots, I can provide them immediately.","Billing Issue","2024-03-26 15:37:00"
"FE-0005","drew.lee422@company.co","Feature request: bulk actions for records","The latest release is a clear improvement; the dashboard loads faster and the navigation is far more intuitive for first-time users. Dark mode is helpful though some secondary text could use higher contrast to aid readability in low-light conditions. Keyboard shortcuts for frequent actions and better partial-match search would make power users more productive. Overall onboarding was smoother thanks to the checklist and clearer documentation with actionable examples.","Feedback","2025-04-20 18:06:00"
"BI-0027","avery.garcia197@corp.io","Need receipt with company name and tax ID","I am writing regarding invoice INV-35441 which lists a charge of $164.29 dated 2023-01-13 that does not match our subscribed plan. A promotion code was applied at checkout but the discount was not reflected on the final amount. Please reissue the invoice with our legal entity name and tax ID and confirm if a refund is needed for any duplicate charges. If you require payment gateway logs or screenshots, I can provide them immediately.","Billing Issue","2023-11-26 23:22:00"
